Spirochaetes （order Leptospirales）： 8
assembly_accession	bioproject	biosample	wgs_master	refseq_category	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	excluded_from_refseq	relation_to_type_material	ncbi_taxonomy_x	ncbi_taxonomy_y	NCBI_Domain	NCBI_Phylum	NCBI_Class	NCBI_Order	NCBI_Family	NCBI_Genus	NCBI_Species	GCF
GCF_005222565.1	PRJNA224116	SAMN11289419		na	173	173	Leptospira interrogans	strain=FMAS_KW1		latest	Complete Genome	Major	Full	2019/05/07	ASM522256v1	Rajarata University of Sri lanka	GCA_005222565.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/005/222/565/GCF_005222565.1_ASM522256v1			d__Bacteria;p__Spirochaetes;c__Spirochaetia;o__Leptospirales;f__Leptospiraceae;g__Leptospira;s__Leptospira interrogans	d__Bacteria;p__Spirochaetes;c__Spirochaetia;o__Leptospirales;f__Leptospiraceae;g__Leptospira;s__Leptospira interrogans	Bacteria	Spirochaetes	Spirochaetia	Leptospirales	Leptospiraceae	Leptospira	Leptospira_interrogans	005222565
GCF_006874745.1	PRJNA224116	SAMN11936725		na	28184	28184	Leptospira weilii	strain=CUD13		latest	Complete Genome	Major	Full	2019/07/11	ASM687474v1	Chulalongkorn University	GCA_006874745.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/874/745/GCF_006874745.1_ASM687474v1			d__Bacteria;p__Spirochaetes;c__Spirochaetia;o__Leptospirales;f__Leptospiraceae;g__Leptospira;s__Leptospira weilii	d__Bacteria;p__Spirochaetes;c__Spirochaetia;o__Leptospirales;f__Leptospiraceae;g__Leptospira;s__Leptospira weilii	Bacteria	Spirochaetes	Spirochaetia	Leptospirales	Leptospiraceae	Leptospira	Leptospira_weilii	006874745
GCF_001444465.1	PRJNA224116	SAMN03785545		na	280505	174	Leptospira borgpetersenii serovar Ballum	strain=56604		latest	Complete Genome	Major	Full	2015/11/17	ASM144446v1	Shanghai Jiao Tong University School of Medicine	GCA_001444465.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/444/465/GCF_001444465.1_ASM144446v1	many frameshifted proteins		d__Bacteria;p__Spirochaetes;c__Spirochaetia;o__Leptospirales;f__Leptospiraceae;g__Leptospira;s__Leptospira borgpetersenii	d__Bacteria;p__Spirochaetes;c__Spirochaetia;o__Leptospirales;f__Leptospiraceae;g__Leptospira;s__Leptospira borgpetersenii	Bacteria	Spirochaetes	Spirochaetia	Leptospirales	Leptospiraceae	Leptospira	Leptospira_borgpetersenii	001444465
GCF_000017605.1	PRJNA224116	SAMN02603617		na	355278	172	Leptospira biflexa serovar Patoc strain 'Patoc 1 (Ames)'	strain=Patoc 1 (Ames)		latest	Complete Genome	Major	Full	2008/02/13	ASM1760v1	Monash University	GCA_000017605.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/017/605/GCF_000017605.1_ASM1760v1			d__Bacteria;p__Spirochaetes;c__Spirochaetia;o__Leptospirales;f__Leptospiraceae;g__Leptospira;s__Leptospira biflexa	d__Bacteria;p__Spirochaetes;c__Spirochaetia;o__Leptospirales;f__Leptospiraceae;g__Leptospira;s__Leptospira biflexa	Bacteria	Spirochaetes	Spirochaetia	Leptospirales	Leptospiraceae	Leptospira	Leptospira_biflexa	000017605
GCF_003722295.1	PRJNA224116	SAMN10390430		representative genome	408139	408139	Leptospira kmetyi	strain=LS 001/16		latest	Complete Genome	Major	Full	2018/11/13	ASM372229v1	Universiti Sains Malaysia	GCA_003722295.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/722/295/GCF_003722295.1_ASM372229v1			d__Bacteria;p__Spirochaetes;c__Spirochaetia;o__Leptospirales;f__Leptospiraceae;g__Leptospira;s__Leptospira kmetyi	d__Bacteria;p__Spirochaetes;c__Spirochaetia;o__Leptospirales;f__Leptospiraceae;g__Leptospira;s__Leptospira kmetyi	Bacteria	Spirochaetes	Spirochaetia	Leptospirales	Leptospiraceae	Leptospira	Leptospira_kmetyi	003722295
GCF_000313175.2	PRJNA224116	SAMN02470123		na	758847	28183	Leptospira santarosai serovar Shermani str. LT 821	strain=LT 821		latest	Complete Genome	Major	Full	2014/10/08	ASM31317v2	Kidney research center, Chang Gung Memorial Hospital	GCA_000313175.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/313/175/GCF_000313175.2_ASM31317v2		assembly from type material	d__Bacteria;p__Spirochaetes;c__Spirochaetia;o__Leptospirales;f__Leptospiraceae;g__Leptospira;s__Leptospira santarosai	d__Bacteria;p__Spirochaetes;c__Spirochaetia;o__Leptospirales;f__Leptospiraceae;g__Leptospira;s__Leptospira santarosai	Bacteria	Spirochaetes	Spirochaetia	Leptospirales	Leptospiraceae	Leptospira	Leptospira_santarosai	000313175
GCF_003429505.1	PRJNA224116	SAMN09464718		representative genome	1137606	1137606	Leptospira mayottensis	strain=VS2413		latest	Complete Genome	Major	Full	2018/08/28	ASM342950v1	Universite de La Reunion	GCA_003429505.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/429/505/GCF_003429505.1_ASM342950v1			d__Bacteria;p__Spirochaetes;c__Spirochaetia;o__Leptospirales;f__Leptospiraceae;g__Leptospira;s__Leptospira mayottensis	d__Bacteria;p__Spirochaetes;c__Spirochaetia;o__Leptospirales;f__Leptospiraceae;g__Leptospira;s__Leptospira mayottensis	Bacteria	Spirochaetes	Spirochaetia	Leptospirales	Leptospiraceae	Leptospira	Leptospira_mayottensis	003429505
GCF_001729245.1	PRJNA224116	SAMN04546715		representative genome	2564040	2564040	Leptospira tipperaryensis	strain=GWTS#1		latest	Complete Genome	Major	Full	2016/09/16	ASM172924v1	USDA	GCA_001729245.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/729/245/GCF_001729245.1_ASM172924v1		assembly from type material	d__Bacteria;p__Spirochaetes;c__Spirochaetia;o__Leptospirales;f__Leptospiraceae;g__Leptospira;s__Leptospira tipperaryensis	d__Bacteria;p__Spirochaetes;c__Spirochaetia;o__Leptospirales;f__Leptospiraceae;g__Leptospira;s__Leptospira tipperaryensis	Bacteria	Spirochaetes	Spirochaetia	Leptospirales	Leptospiraceae	Leptospira	Leptospira_tipperaryensis	001729245

Spirochaetes （order Brachyspirales & order Brevinematales）： 1 & 9
GCF_001012915.1	PRJNA224116	SAMN03283812	JXNB00000000.1	na	159	159	Brachyspira hyodysenteriae	strain=FMV89.3323		latest	Scaffold	Major	Full	2015/05/26	ASM101291v1	Murdoch University	GCA_001012915.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/012/915/GCF_001012915.1_ASM101291v1			d__Bacteria;p__Spirochaetes;c__Spirochaetia;o__Brachyspirales;f__Brachyspiraceae;g__Brachyspira;s__Brachyspira hyodysenteriae	d__Bacteria;p__Spirochaetes;c__Spirochaetia;o__Brachyspirales;f__Brachyspiraceae;g__Brachyspira;s__Brachyspira hyodysenteriae	Bacteria	Spirochaetes	Spirochaetia	Brachyspirales	Brachyspiraceae	Brachyspira	Brachyspira_hyodysenteriae	001012915
