assembly_accession	bioproject	biosample	wgs_master	refseq_category	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	excluded_from_refseq	relation_to_type_material
GCF_002222655.1	PRJNA224116	SAMN07313362		representative genome	63	63	Vitreoscilla filiformis	strain=ATCC 15551		latest	Complete Genome	Major	Full	2017/07/20	ASM222265v1	L'Oreal	GCA_002222655.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/222/655/GCF_002222655.1_ASM222265v1		
GCF_002355975.1	PRJNA224116	SAMD00025316		representative genome	69	69	Lysobacter enzymogenes	strain=M497-1		latest	Complete Genome	Major	Full	2016/11/25	ASM235597v1	Japan Agency for Marine-Earth Science and Technology	GCA_002355975.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/355/975/GCF_002355975.1_ASM235597v1		
GCF_006738645.1	PRJNA224116	SAMD00165212		representative genome	94	94	Stella humosa	strain=ATCC 43930		latest	Complete Genome	Major	Full	2019/06/03	ASM673864v1	Riken, BDR	GCA_006738645.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/738/645/GCF_006738645.1_ASM673864v1		assembly from type material
GCF_007747015.1	PRJNA224116	SAMN10954008		representative genome	122	122	Gimesia maris	strain=CA11		latest	Complete Genome	Major	Full	2019/07/31	ASM774701v1	Radboud Universiteit Nijmegen	GCA_007747015.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/007/747/015/GCF_007747015.1_ASM774701v1		
GCF_009685195.1	PRJNA224116	SAMN12748973		representative genome	134	134	Methylocystis parvus	strain=BRCS2		latest	Complete Genome	Major	Full	2019/11/21	ASM968519v1	SBRC Nottingham	GCA_009685195.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/685/195/GCF_009685195.1_ASM968519v1		
GCF_008153345.1	PRJNA224116	SAMN12512735		representative genome	162	162	Treponema phagedenis	strain=B43.1		latest	Complete Genome	Major	Full	2019/08/30	ASM815334v1	University of Bern	GCA_008153345.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/153/345/GCF_008153345.1_ASM815334v1		assembly from type material
GCF_011600945.2	PRJNA224116	SAMN13976978		representative genome	196	196	Campylobacter fetus	strain=CFF00A031		latest	Complete Genome	Major	Full	2020/07/31	ASM1160094v2	Canadian Food Inspection Agency	GCA_011600945.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/011/600/945/GCF_011600945.2_ASM1160094v2		
GCF_001298465.1	PRJNA224116	SAMN03342362		representative genome	199	199	Campylobacter concisus	strain=ATCC 33237		latest	Complete Genome	Major	Full	2015/09/24	ASM129846v1	Olivier Vandenberg 	GCA_001298465.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/298/465/GCF_001298465.1_ASM129846v1		assembly from type material
GCF_013372125.1	PRJNA224116	SAMN14886871		representative genome	200	200	Campylobacter curvus	strain=ATCC 35224		latest	Complete Genome	Major	Full	2020/06/24	ASM1337212v1	USDA, ARS, WRRC	GCA_013372125.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/372/125/GCF_013372125.1_ASM1337212v1		assembly from type material
GCF_013372205.1	PRJNA224116	SAMN14886971		representative genome	202	202	Campylobacter mucosalis	strain=ATCC 43264		latest	Complete Genome	Major	Full	2020/06/24	ASM1337220v1	USDA, ARS, WRRC	GCA_013372205.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/372/205/GCF_013372205.1_ASM1337220v1		assembly from type material
GCF_004803795.1	PRJNA224116	SAMN03737987		representative genome	203	203	Campylobacter rectus	strain=ATCC 33238		latest	Complete Genome	Major	Full	2019/04/23	ASM480379v1	USDA, ARS, WRRC	GCA_004803795.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/803/795/GCF_004803795.1_ASM480379v1		assembly from type material
GCF_004803815.1	PRJNA224116	SAMN03737988		representative genome	204	204	Campylobacter showae	strain=ATCC 51146		latest	Complete Genome	Major	Full	2019/04/23	ASM480381v1	USDA, ARS, WRRC	GCA_004803815.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/803/815/GCF_004803815.1_ASM480381v1		assembly from type material
